food,category,meal_type,ramadan_role,hydration_index,smart_swap,measure,grams,calories,protein_g,fat_g,sat_fat_g,carbs_g,fiber_g,sugars_g,sodium_mg,protein_pct,has_incomplete_name,is_extreme_portion
Ice cream,Dairy products,Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),1 cup,100,159.57,3.19,9.57,8.51,15.43,0.0,5.0,45.0,8.0,False,False
Ice milk,Dairy products,Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),1 cup,100,144.74,4.74,5.26,4.74,16.84,0.0,5.0,45.0,13.1,False,False
Cream or half-and-half,Dairy products,Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),1/2 cup,100,141.67,3.33,12.5,10.83,4.17,0.0,4.17,45.0,9.4,False,False
or whipping,Dairy products,Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1/2 cup,100,361.34,1.68,36.97,22.69,2.52,0.84,2.52,45.04,1.9,False,False
Cheese,Dairy products,Flexible,Balanced,Dehydrating,Drink 2 extra glasses of water with this,1 cup,100,106.67,13.33,4.89,4.44,2.67,0.0,0.98,600.0,50.0,False,False
uncreamed,Dairy products,Flexible,Lean Protein / Muscle Recovery,Neutral,Excellent Choice (No Swap Needed),1 cup,100,86.67,16.89,0.0,0.0,2.67,0.0,2.67,44.98,77.9,False,False
Cheddar,Dairy products,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1-in. cube,100,411.76,23.53,35.29,29.41,0.0,0.0,0.0,45.29,22.9,False,False
"Cheddar, grated cup",Dairy products,Flexible,Balanced,High,Excellent Choice (No Swap Needed),1/2 cup,100,403.57,25.0,33.93,30.36,1.79,0.0,1.79,45.0,24.8,False,False
Cream cheese,Dairy products,Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1 oz.,100,375.0,7.14,39.29,35.71,3.57,0.0,1.07,600.0,7.6,False,False
Processed cheese,Dairy products,Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1 oz.,100,375.0,25.0,32.14,28.57,0.0,0.0,0.0,600.0,26.7,False,False
Roquefort type,Dairy products,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 oz.,100,375.0,21.43,32.14,28.57,0.0,0.0,0.0,45.0,22.9,False,False
Swiss,Dairy products,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 oz.,100,375.0,25.0,28.57,25.0,0.0,0.0,0.0,45.0,26.7,False,False
Eggs raw,Dairy products,Flexible,Balanced,High,Excellent Choice (No Swap Needed),2,100,150.0,12.0,12.0,10.0,0.0,0.0,0.0,45.0,32.0,False,False
Eggs Scrambled or fried,Dairy products,Flexible,Balanced,Neutral,Eggs Scrambled or baked,2,100,171.88,10.16,12.5,10.94,0.78,0.0,0.78,45.0,23.6,False,False
Yolks,"Fats, Oils, Shortenings",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),2,100,352.94,17.65,29.41,23.53,0.0,0.0,0.0,0.0,20.0,False,False
Butter,"Fats, Oils, Shortenings",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1T.,100,714.29,0.0,78.57,71.43,0.0,0.0,0.0,600.0,0.0,False,False
Butter,"Fats, Oils, Shortenings",Suhoor,Slow-Release Energy,Dehydrating,Drink 2 extra glasses of water with this,1/2 cup,100,723.21,0.89,82.14,50.89,0.0,0.0,0.0,600.0,0.5,False,False
Butter,"Fats, Oils, Shortenings",Suhoor,Slow-Release Energy,Dehydrating,Drink 2 extra glasses of water with this,1/4 lb.,100,723.21,0.89,82.14,50.89,0.0,0.0,0.0,600.0,0.5,False,False
Hydrogenated cooking fat,"Fats, Oils, Shortenings",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1/2 cup,100,665.0,0.0,100.0,88.0,0.0,0.0,0.0,0.0,0.0,False,False
Lard,"Fats, Oils, Shortenings",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1/2 cup,100,901.82,0.0,100.0,83.64,0.0,0.0,0.0,0.0,0.0,False,False
Margarine,"Fats, Oils, Shortenings",Main Course,Heavy Meal / Craving,Dehydrating,Drink 2 extra glasses of water with this,1/2 cup,100,719.64,0.0,81.25,67.86,0.0,0.0,0.0,600.0,0.0,False,False
"Margarine, 2 pat or","Fats, Oils, Shortenings",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1 T.,100,714.29,0.0,78.57,64.29,0.0,0.0,0.0,600.0,0.0,False,False
Mayonnaise,"Fats, Oils, Shortenings",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1 T.,100,733.33,0.0,80.0,33.33,0.0,0.0,0.0,0.0,0.0,False,False
Corn oil,"Fats, Oils, Shortenings",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1 T.,100,892.86,0.0,100.0,35.71,0.0,0.0,0.0,0.0,0.0,False,False
Olive oil,"Fats, Oils, Shortenings",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1T.,100,892.86,0.0,100.0,21.43,0.0,0.0,0.0,0.0,0.0,False,False
Safflower seed oil,"Fats, Oils, Shortenings",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1 T.,100,892.86,0.0,100.0,21.43,0.0,0.0,0.0,0.0,0.0,False,False
French dressing,"Fats, Oils, Shortenings",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1 T.,100,400.0,0.0,40.0,13.33,13.33,0.0,0.0,0.0,0.0,False,False
Thousand Island sauce,"Fats, Oils, Shortenings",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1 T.,100,500.0,0.0,53.33,20.0,6.67,0.0,0.0,0.0,0.0,False,False
Salt pork,"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,2 oz.,100,783.33,5.0,91.67,0.0,0.0,0.0,0.0,60.0,2.6,False,False
Bacon,"Meat, Poultry",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),2 slices,100,593.75,25.0,50.0,43.75,6.25,0.0,0.0,800.0,16.8,False,False
Beef,"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,288.24,27.06,18.82,17.65,0.0,0.0,0.0,60.0,37.6,False,False
Hamburger,"Meat, Poultry",Flexible,Balanced,Dehydrating,Drink 2 extra glasses of water with this,3 oz.,100,288.24,24.71,20.0,17.65,0.0,0.0,0.0,800.0,34.3,False,False
Ground lean,"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,217.65,28.24,11.76,10.59,0.0,0.0,0.0,60.0,51.9,False,False
Roast beef,"Meat, Poultry",Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,3 oz.,100,458.82,18.82,42.35,41.18,0.0,0.0,0.0,60.0,16.4,False,False
Steak,"Meat, Poultry",Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,3 oz.,100,388.24,23.53,31.76,29.41,0.0,0.0,0.0,60.0,24.2,False,False
"Steak, lean, as round","Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,258.82,28.24,14.12,12.94,0.0,0.0,0.0,60.0,43.6,False,False
Corned beef,"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,217.65,25.88,11.76,10.59,0.0,0.0,0.0,60.0,47.6,False,False
Corned beef hash canned,"Meat, Poultry",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,141.18,14.12,9.41,8.24,7.06,0.0,0.0,60.0,40.0,False,False
Corned beef hash Dried,"Meat, Poultry",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),2 oz.,100,205.36,33.93,7.14,7.14,0.0,0.0,0.0,60.0,66.1,False,False
Pot-pie,"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1 pie,100,211.45,7.93,12.33,11.01,14.1,0.0,0.0,60.0,15.0,False,False
Corned beef hash Stew,"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),1 cup,100,78.72,6.38,4.26,3.83,6.38,0.0,0.0,60.0,32.4,False,False
chicken,"Meat, Poultry",Flexible,Lean Protein / Muscle Recovery,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,217.65,27.06,10.59,8.24,0.0,0.0,0.0,60.0,49.7,False,False
"Fried, breast or leg and thigh chicken","Meat, Poultry",Flexible,Balanced,Neutral,"Baked, breast or leg and thigh chicken",3 oz.,100,288.24,29.41,17.65,12.94,0.0,0.0,0.0,60.0,40.8,False,False
Roasted chicken,"Meat, Poultry",Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,3 1/2 oz.,100,290.0,25.0,20.0,16.0,0.0,0.0,0.0,60.0,34.5,False,False
"Chicken livers, fried","Meat, Poultry",Snack / Appetizer,Balanced,Neutral,"Chicken livers, baked",3 med.,100,140.0,22.0,14.0,12.0,2.3,0.0,0.0,60.0,62.9,False,False
"Duck, domestic","Meat, Poultry",Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,3 1/2 oz.,100,370.0,16.0,28.0,0.0,0.0,0.0,0.0,60.0,17.3,False,False
"Lamb, chop, broiled","Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,4 oz.,100,417.39,20.87,30.43,28.7,0.0,0.0,0.0,60.0,20.0,False,False
Leg roasted,"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,365.12,23.26,16.28,16.28,0.0,0.0,0.0,60.0,25.5,False,False
"Shoulder, braised","Meat, Poultry",Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,3 oz.,100,335.29,21.18,27.06,24.71,0.0,0.0,0.0,60.0,25.3,False,False
"Pork, chop, 1 thick","Meat, Poultry",Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,3 1/2 oz.,100,260.0,16.0,21.0,18.0,0.0,0.0,0.0,60.0,24.6,False,False
Ham pan-broiled,"Meat, Poultry",Flexible,Heavy Meal / Craving,Dehydrating,Drink 2 extra glasses of water with this,3 oz.,100,341.18,18.82,25.88,22.35,0.0,0.0,0.0,800.0,22.1,False,False
"Ham, as","Meat, Poultry",Flexible,Balanced,Dehydrating,Drink 2 extra glasses of water with this,2 oz.,100,298.25,22.81,22.81,19.3,0.0,0.0,0.0,800.0,30.6,False,False
"Ham, canned, spiced","Meat, Poultry",Flexible,Balanced,Dehydrating,Drink 2 extra glasses of water with this,2 oz.,100,289.47,14.04,24.56,21.05,1.75,0.0,0.0,800.0,19.4,False,False
Pork roast,"Meat, Poultry",Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,3 oz.,100,364.71,24.71,28.24,24.71,0.0,0.0,0.0,60.0,27.1,False,False
Pork sausage,"Meat, Poultry",Main Course,Heavy Meal / Craving,Dehydrating,Drink 2 extra glasses of water with this,3 1/2 oz.,100,475.0,18.0,44.0,40.0,0.0,0.0,0.0,800.0,15.2,False,False
Turkey,"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),3 1/2 oz.,100,265.0,27.0,15.0,0.0,0.0,0.0,0.0,60.0,40.8,False,False
Veal,"Meat, Poultry",Flexible,Lean Protein / Muscle Recovery,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,217.65,27.06,10.59,9.41,0.0,0.0,0.0,60.0,49.7,False,False
Roast,"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,358.82,15.29,16.47,15.29,0.0,0.0,0.0,60.0,17.0,False,False
Clams,"Fish, Seafood",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,102.35,14.12,1.18,0.0,2.35,0.0,0.0,80.0,55.2,False,False
Cod,"Fish, Seafood",Flexible,Lean Protein / Muscle Recovery,Neutral,Excellent Choice (No Swap Needed),3 1/2 oz.,100,170.0,28.0,5.0,0.0,0.0,0.0,0.0,80.0,65.9,False,False
Crab meat,"Fish, Seafood",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,105.88,16.47,2.35,0.0,1.18,0.0,0.0,80.0,62.2,False,False
Fish sticks fried,"Fish, Seafood",Flexible,Balanced,Neutral,Fish sticks baked,5,100,178.57,16.96,8.93,4.46,7.14,0.0,0.0,80.0,38.0,False,False
Flounder,"Fish, Seafood",Flexible,Lean Protein / Muscle Recovery,Neutral,Excellent Choice (No Swap Needed),3 1/2 oz.,100,200.0,30.0,8.0,0.0,0.0,0.0,0.0,80.0,60.0,False,False
Haddock,"Fish, Seafood",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,158.82,18.82,5.88,4.71,7.06,0.0,0.0,80.0,47.4,False,False
Halibut,"Fish, Seafood",Flexible,Lean Protein / Muscle Recovery,Neutral,Excellent Choice (No Swap Needed),3 1/2 oz.,100,182.0,26.0,8.0,0.0,0.0,0.0,0.0,80.0,57.1,False,False
Herring,"Fish, Seafood",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),1 small,100,211.0,22.0,13.0,0.0,0.0,0.0,0.0,80.0,41.7,False,False
Lobster,"Fish, Seafood",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),aver.,100,92.0,18.0,1.0,0.0,0.0,0.0,0.0,80.0,78.3,False,False
Mackerel,"Fish, Seafood",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,182.35,21.18,10.59,0.0,0.0,0.0,0.0,80.0,46.5,False,False
Oysters,"Fish, Seafood",Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),6-8 med.,100,100.43,100.87,101.3,101.74,102.61,102.17,0.0,80.0,401.7,False,True
Oyster stew,"Fish, Seafood",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1 cup,100,147.06,22.35,7.06,1.18,0.0,0.0,0.0,80.0,60.8,False,False
Salmon,"Fish, Seafood",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,141.18,20.0,5.88,1.18,0.0,0.0,0.0,80.0,56.7,False,False
Sardines,"Fish, Seafood",Flexible,Lean Protein / Muscle Recovery,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,211.76,25.88,10.59,4.71,0.0,0.0,0.0,80.0,48.9,False,False
Scallops,"Fish, Seafood",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),3 1/2 oz.,100,104.0,18.0,8.0,0.0,10.0,0.0,0.0,80.0,69.2,False,False
Shad,"Fish, Seafood",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,200.0,23.53,11.76,0.0,0.0,0.0,0.0,80.0,47.1,False,False
Shrimp,"Fish, Seafood",Snack / Appetizer,Lean Protein / Muscle Recovery,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,129.41,27.06,1.18,0.0,0.0,0.0,0.0,80.0,83.6,False,False
Swordfish,"Fish, Seafood",Flexible,Lean Protein / Muscle Recovery,Neutral,Excellent Choice (No Swap Needed),1 steak,100,180.0,27.0,6.0,0.0,0.0,0.0,0.0,80.0,60.0,False,False
Tuna,"Fish, Seafood",Flexible,Lean Protein / Muscle Recovery,Neutral,Excellent Choice (No Swap Needed),3 oz.,100,200.0,29.41,8.24,3.53,0.0,0.0,0.0,80.0,58.8,False,False
Artichoke,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 large,100,0.0,2.0,0.0,0.0,10.0,2.0,3.0,15.0,,False,False
Asparagus,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),6 spears,100,18.75,1.04,0.0,0.0,3.12,0.52,3.02,15.0,22.2,False,False
Beans,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,20.0,0.8,0.0,0.0,4.8,0.64,3.04,15.04,16.0,False,False
Lima,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,87.5,5.0,0.0,0.0,15.0,1.88,3.0,15.0,22.9,False,False
"Lima, dry, cooked",Vegetables A-E,Flexible,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,135.42,8.33,0.0,0.0,25.0,1.04,3.02,15.0,24.6,False,False
"Navy, baked with pork",Vegetables A-E,Flexible,Balanced,High,Excellent Choice (No Swap Needed),3/4 cup,100,125.0,5.5,3.0,3.0,18.5,1.0,3.0,15.0,17.6,False,False
Red kidney,Vegetables A-E,Flexible,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,88.46,5.77,0.38,0.0,16.15,0.96,3.0,15.0,26.1,False,False
Bean sprouts,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,34.0,2.0,0.0,0.0,6.0,0.6,3.0,15.0,23.5,False,False
Beet greens,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,27.0,2.0,0.0,0.0,6.0,1.4,3.0,15.0,29.6,False,False
Beetroots,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,0.61,7.27,0.0,0.0,0.48,0.0,0.48,15.03,4800.0,False,False
Broccoli,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,30.0,3.33,0.0,0.0,5.33,1.27,3.0,15.0,44.4,False,False
Brussels sprouts,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,46.15,4.62,0.0,0.0,9.23,1.31,3.0,15.0,40.0,False,False
Sauerkraut,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,21.33,0.67,0.0,0.0,4.67,0.8,3.0,15.0,12.5,False,False
Steamed cabbage,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,23.53,1.18,0.0,0.0,5.29,0.76,3.0,15.0,20.0,False,False
Carrots,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,30.0,0.67,0.0,0.0,6.67,0.6,3.0,15.0,8.9,False,False
"Raw, grated",Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,40.91,0.91,0.0,0.0,9.09,1.09,3.0,15.0,8.9,False,False
"Strips, from raw",Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 mad.,100,40.0,0.0,0.0,0.0,10.0,1.0,3.0,15.0,0.0,False,False
Cauliflower,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,25.0,2.5,0.0,0.0,5.0,0.83,3.0,15.0,40.0,False,False
Celery,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,20.0,1.0,0.0,0.0,4.0,1.0,3.0,15.0,20.0,False,False
Stalk raw,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 large,100,12.5,2.5,0.0,0.0,2.5,0.75,2.5,15.0,80.0,False,False
Chard steamed,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,20.0,1.33,0.0,0.0,4.67,0.93,3.0,15.0,26.7,False,False
Collards,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,34.0,3.33,0.0,0.0,5.33,1.33,3.0,15.0,39.2,False,False
Corn,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 ear,100,92.0,3.0,1.0,0.0,21.0,0.8,3.0,15.0,13.0,False,False
cooked or canned,Vegetables A-E,Flexible,Balanced,Dehydrating,Drink 2 extra glasses of water with this,1 cup,100,85.0,2.5,0.0,0.0,20.5,0.8,3.0,300.0,11.8,False,False
Cucumbers,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),8,100,12.0,0.0,0.0,0.0,2.0,0.4,2.0,15.0,0.0,False,False
Dandelion greens,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,44.44,2.78,0.56,0.0,8.89,1.78,3.0,15.0,25.0,False,False
Eggplant,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,16.67,1.11,0.0,0.0,5.0,0.56,3.0,15.0,26.7,False,False
Endive,Vegetables A-E,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),2 oz.,100,17.54,1.75,0.0,0.0,3.51,1.05,2.98,14.91,40.0,False,False
Kale,Vegetables F-P,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,40.91,3.64,0.91,0.0,7.27,0.82,3.0,15.0,35.6,False,False
Kohlrabi,Vegetables F-P,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,28.57,1.43,0.0,0.0,6.43,1.07,3.0,15.0,20.0,False,False
"Lambs quarters, steamed",Vegetables F-P,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,32.0,3.33,0.0,0.0,4.67,2.13,3.0,15.0,41.7,False,False
Lentils,Vegetables F-P,Flexible,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,106.0,7.5,0.0,0.0,19.0,1.2,3.0,15.0,28.3,False,False
Lettuce,Vegetables F-P,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1/4 head,100,14.0,1.0,0.0,0.0,2.0,0.5,2.0,15.0,28.6,False,False
Iceberg,Vegetables F-P,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1/4 head,100,13.0,0.0,0.0,0.0,3.0,0.5,3.0,15.0,0.0,False,False
Mushrooms canned,Vegetables F-P,Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),4,100,10.0,1.67,0.0,0.0,3.33,0.0,3.0,300.0,66.7,False,False
Mustard greens,Vegetables F-P,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1,100,21.43,2.14,0.0,0.0,4.29,0.86,3.0,15.0,40.0,False,False
Okra,Vegetables F-P,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 1/3 cups,100,32.0,1.0,0.0,0.0,7.0,1.0,3.0,15.0,12.5,False,False
Onions,Vegetables F-P,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1,100,38.1,0.95,0.0,0.0,8.57,0.76,3.0,15.0,10.0,False,False
"Raw, green",Vegetables F-P,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),6 small,100,44.0,0.0,0.0,0.0,10.0,2.0,3.0,15.0,0.0,False,False
Parsley,Vegetables F-P,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),2 T.,100,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,False,False
Parsnips,Vegetables F-P,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,61.29,1.29,0.65,0.0,14.19,1.94,2.97,14.97,8.4,False,False
Peas,Vegetables F-P,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,66.0,3.0,0.0,0.0,13.0,0.1,3.0,15.0,18.2,False,False
"Fresh, steamed peas",Vegetables R-Z,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,70.0,5.0,0.0,0.0,12.0,2.2,3.0,15.0,28.6,False,False
Frozen peas,Vegetables R-Z,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,0.0,5.0,0.0,0.0,12.0,1.8,3.0,15.0,,False,False
Split cooked peas,Vegetables R-Z,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),4 cups,100,115.0,8.0,0.0,0.0,21.0,0.4,3.0,15.0,27.8,False,False
heated peas,Vegetables R-Z,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 cup,100,53.0,3.0,0.0,0.0,10.0,1.0,3.0,15.0,22.6,False,False
Peppers canned,Vegetables R-Z,Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1 pod,100,26.32,0.0,0.0,0.0,5.26,0.0,2.89,300.0,0.0,False,False
"Peppers Raw, green, sweet",Vegetables R-Z,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),1 large,100,25.0,1.0,0.0,0.0,6.0,1.4,3.0,15.0,16.0,False,False
